character,characterLabel,freebase_id,powers,occupation,affiliation,species,allies,wikidata_id
http://www.wikidata.org/entity/Q2975734,Keyser Söze,/m/03z0qw,,"drug trafficker, drug lord, con artist",,,,Q2975734
http://www.wikidata.org/entity/Q694790,Lex Luthor,/m/04q78,,"philanthropist, mass murderer, drug trafficker, crime boss, roboticist, business executive, business magnate, chemist, chief executive officer, inventor, superhero, physicist, engineer","Intergang, Injustice League, LCorp, Secret Six, Injustice Gang, Justice League, Secret Society of Super Villains",,"Lex Luthor, Jr., Jaxon Xavier, Conner Kent",Q694790
http://www.wikidata.org/entity/Q867810,Clark Kent,/m/02362,,reporter,"Daily Star, Daily Planet",,,Q867810
http://www.wikidata.org/entity/Q1033152,RoboCop,/m/0h3w0g,,police officer,,,,Q1033152
http://www.wikidata.org/entity/Q2260732,General Zod,/m/03jlpc,,"soldier, leader","Superman Revenge Squad, Suicide Squad",,Chris Kent,Q2260732
http://www.wikidata.org/entity/Q58363586,narrator,/m/0147fv,,,,,,Q58363586
http://www.wikidata.org/entity/Q79015,Superman,/m/070vn,,"superhero, reporter","Supermen of America, Black Lantern Corps, White Lantern Corps, Daily Planet, Justice League, Legion of Super-Heroes, Justice League Beyond",,"Jon Kent, Conner Kent",Q79015
http://www.wikidata.org/entity/Q122018,Sinbad the Sailor,/m/01rry2,,sailor,,,,Q122018
http://www.wikidata.org/entity/Q319918,Daffy Duck,/m/0dng4,,,,,,Q319918
http://www.wikidata.org/entity/Q845922,Lois Lane,/m/04pzy,,"journalist, reporter",Daily Planet,,"Chris Kent, Jon Kent",Q845922
http://www.wikidata.org/entity/Q937186,Porky Pig,/m/0dngm,,,,,,Q937186
http://www.wikidata.org/entity/Q1650123,Ursa,/m/025sh7w,,"terrorist, soldier, criminal",,,Chris Kent,Q1650123
http://www.wikidata.org/entity/Q1689418,Jimmy Olsen,/m/01l7gv,,"photographer, reporter",Daily Planet,,,Q1689418
http://www.wikidata.org/entity/Q2068759,Jor-El,/m/02kdb5,,"inventor, scientist",,,"Superman in The New 52, Superboy, Superman (Earth-One), Superman, Superboy-Prime, Clark Kent",Q2068759
http://www.wikidata.org/entity/Q2342943,Perry White,/m/04mctc,,"editor-in-chief, reporter","Galaxy Communications, Daily Planet",,,Q2342943
http://www.wikidata.org/entity/Q2418079,Alice Abernathy,/m/02wtdcf,,"martial artist, aircraft pilot, resistance fighter",,,,Q2418079
http://www.wikidata.org/entity/Q2521223,Jonathan and Martha Kent,/m/05hk22,,,,,,Q2521223
http://www.wikidata.org/entity/Q2526061,Lara Lor-Van,/m/071jhv,,"librarian, astronaut",,,"Superman in The New 52, Superboy, Superman (Earth-One), Superman, Superboy-Prime, Clark Kent",Q2526061
http://www.wikidata.org/entity/Q17486714,Jonathan Kent,/m/05hk22,,farmer,,,"Superboy, Superman (Earth-One), Superman, Clark Kent",Q17486714
http://www.wikidata.org/entity/Q82732,Aeneas,/m/0qpk,,military leader,,,"Anthemone, Etias, Ascanius, Silvius, Aemilia",Q82732
http://www.wikidata.org/entity/Q3604059,Child Catcher,/m/06tj0m,,,,,,Q3604059
http://www.wikidata.org/entity/Q3635105,Baron Bomburst,/m/0h3fpx,,,,,,Q3635105
http://www.wikidata.org/entity/Q3635122,Baroness Bomburst,/m/076zj3,,,,,,Q3635122
http://www.wikidata.org/entity/Q3658168,Caractacus Pott,/m/054w5v,,aircraft pilot,,,,Q3658168
http://www.wikidata.org/entity/Q3972923,Truly Scrumptious,/m/054wn3,,,,,,Q3972923
http://www.wikidata.org/entity/Q7326250,Richard Hannay,/m/059by8,,"espionage, military personnel",,,,Q7326250
http://www.wikidata.org/entity/Q125850224,George Falconer,/m/07yjp_m,,,,,,Q125850224
http://www.wikidata.org/entity/Q128176,Agamemnon,/m/0qrc,,,,,"Chrysothemis, Laodice, Iphigenia, Hyperion, Iphianassa, Pelops, Chryses, Halaesus, Teledamus, Orestes, Elektra",Q128176
http://www.wikidata.org/entity/Q148659,Indiana Jones,/m/03ttl,,"archaeologist, adventurer, university teacher, spy, military personnel",,,Mutt Williams,Q148659
http://www.wikidata.org/entity/Q170241,Tarzan,/m/07lk3,,"trapper, adventurer, tribal chief, hunter, fisher",,,Korak,Q170241
http://www.wikidata.org/entity/Q304552,Sallah,/m/0g2byj,,,,,,Q304552
http://www.wikidata.org/entity/Q323807,J.D.,/m/0c2hzq,,physician,,,,Q323807
http://www.wikidata.org/entity/Q393843,Moominpappa,/m/02p5nd8,,,,,Moomintroll,Q393843
http://www.wikidata.org/entity/Q422902,Hemulen,/m/02q3424,,,,,,Q422902
http://www.wikidata.org/entity/Q1090843,prince charming,/m/049p8n,,,,,,Q1090843
