freebase_actor_id,CanonicalCategory,Class,Winner
/m/012v9y,ACTOR,Acting,True
/m/012v9y,ACTOR IN A LEADING ROLE,Acting,False
/m/012vf6,,,False
/m/012wfh,,,False
/m/012wy9,,,False
/m/012x2b,,,False
/m/012xdf,,,False
/m/012yhd,,,False
/m/012ykt,ACTRESS IN A LEADING ROLE,Acting,True
/m/012ysy,,,False
/m/012zh1,,,False
/m/0131kb,,,False
/m/0132f1,,,False
/m/0132sy,,,False
/m/01337_,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/0133gf,,,False
/m/0133xp,,,False
/m/013423,,,False
/m/0134w7,,,False
/m/0136p1,,,False
/m/0137n0,,,False
/m/0137s4,,,False
/m/01380_,ACTOR,Acting,False
/m/013846,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/013846,ACTOR,Acting,False
/m/01385g,ACTOR,Acting,False
/m/01386m,ACTOR,Acting,False
/m/0139q5,,,False
/m/0139t1,,,False
/m/013_vh,,,False
/m/013bd1,,,False
/m/013bym,,,False
/m/013cr,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/013knm,ACTRESS IN A SUPPORTING ROLE,Acting,True
/m/013pk3,,,False
/m/013ppl,,,False
/m/013q78,,,False
/m/013q8x,,,False
/m/013qf4,,,False
/m/013qjp,,,False
/m/013qkv,,,False
/m/013qlj,,,False
/m/013qp3,,,False
/m/013qpt,,,False
/m/013qvn,,,False
/m/013qyh,,,False
/m/013s8s,,,False
/m/013sfd,,,False
/m/013sg6,,,False
/m/013t2l,,,False
/m/013tcv,,,False
/m/013tjc,,,False
/m/013vdl,,,False
/m/013w4h,,,False
/m/013w7j,,,False
/m/013ybx,,,False
/m/013yd0,,,False
/m/013ykx,,,False
/m/013ylm,,,False
/m/013zpf,,,False
/m/013zs9,,,False
/m/013zyw,,,False
/m/01400g,,,False
/m/0140t7,,,False
/m/0141qv,,,False
/m/0142fb,,,False
/m/0142n8,,,False
/m/0142q1,,,False
/m/01437b,,,False
/m/01438g,,,False
/m/014488,,,False
/m/0146lp,,,False
/m/01478p,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01478p,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/01478p,ACTOR,Acting,False
/m/01479s,ACTOR,Acting,True
/m/0147bj,ACTOR,Acting,False
/m/0147dk,ACTOR IN A LEADING ROLE,Acting,False
/m/0147dk,ACTOR IN A LEADING ROLE,Acting,False
/m/0147dk,ACTOR IN A LEADING ROLE,Acting,True
/m/0147jt,,,False
/m/0148m9,,,False
/m/014936,,,False
/m/014_1g,,,False
/m/014_4y,,,False
/m/014bps,,,False
/m/014cml,,,False
/m/014dm6,,,False
/m/014dq7,,,False
/m/014dy_,,,False
/m/014g79,,,False
/m/014g_s,,,False
/m/014gf8,ACTOR IN A LEADING ROLE,Acting,False
/m/014hdb,,,False
/m/014hn6,,,False
/m/014jpp,,,False
/m/014jxq,,,False
/m/014k1v,,,False
/m/014kbz,ACTOR,Acting,False
/m/014kg4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/014kg4,ACTOR,Acting,False
/m/014kg4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/014kg4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/014kg4,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/014kxv,,,False
/m/014lb1,,,False
/m/014q2g,,,False
