freebase_id,character_name_lst,occupation_lst,affiliation_lst,allies_lst,wikidata_id_lst
/m/011j44,['Charlie Brown'],['American football player'],[],[],['Q1168491']
/m/011k1z,['Sylvester'],[],[],['Sylvester Junior'],['Q10990037']
/m/011lmc,['J. Jonah Jameson'],"['publisher', 'editor-in-chief', 'reporter', 'philanthropist', 'chief executive officer']",[],"['Mattie Franklin', 'John Jameson']",['Q1992523']
/m/011m28,['Uther Pendragon'],['monarch'],[],"['Madoc ap Uthyr', 'King Arthur']",['Q657200']
/m/012585,['Prospero'],[],[],['Miranda'],['Q978952']
/m/012645,['Norman Osborn'],"['criminal', 'government agent', 'businessperson']","['Dark Avengers', 'Thunderbolts', 'Cabal', 'Oscorp', 'S.H.I.E.L.D.', 'H.A.M.M.E.R.', 'Hellfire Club']",['Harry Osborn'],['Q17090877']
/m/012650,['Wilkins Micawber'],[],[],[],['Q3568268']
/m/012698,['Sailor Venus'],"['middle school student', 'warrior', 'high school student']",[],[],['Q521902']
/m/0126tw,['Zaphod Beeblebrox'],[],[],[],['Q637202']
/m/0127r1,['Aunt May'],[],[],[],['Q2453332']
/m/0127rw,['Gwen Stacy'],['student'],[],[],['Q945817']
/m/01296w,['Nero Wolfe'],['private investigator'],[],[],['Q371774']
/m/012995,['Archie Goodwin'],['private investigator'],[],[],['Q2250869']
/m/0129mg,['Uncle Ben'],[],[],[],['Q2299139']
/m/012cv9,['Charlie Chan'],['police detective'],[],[],['Q389624']
/m/012cxv,['Mike Hammer'],['private investigator'],[],[],['Q2632785']
/m/012fvc,['Fozzie Bear'],['stand-up comedian'],[],[],['Q1839277']
/m/012gkt,['Nyota Uhura'],"['public relations officer', 'linguist', 'Communications Officer']",['Starfleet'],[],['Q616755']
/m/012gt9,['Sarek'],"['diplomat', 'ambassador']",[],"['Sybok', 'Michael Burnham', 'Spock']",['Q2712069']
/m/012jdw,['Elendil'],"['swordfighter', 'leader']",[],"['Isildur', 'Anárion']",['Q719736']
/m/012k8j,['Oberon'],[],[],[],['Q1139234']
/m/012m64,['tooth fairy'],[],[],[],['Q846982']
/m/01328k,['Adaptations of Puss in Boots'],[],[],[],['Q4680674']
/m/013290,['Cheshire Cat'],[],[],[],['Q934013']
/m/0134bx,['Ronald McDonald'],['clown'],[],[],['Q837716']
/m/0138c1,['Red Sonja'],"['gladiator', 'martial artist', 'adventurer', 'swordfighter', 'mercenary', 'warrior']",[],[],['Q162335']
/m/0139tx,['Doctor Strange'],"['magician', 'neurosurgeon']","['The New Avengers', 'Defenders', 'Illuminati']",[],['Q907767']
/m/013m9w,['Mister Fantastic'],"['professor', 'explorer', 'student', 'adventurer']","['Illuminati', 'The Fantastic Four', 'Avengers', 'Future Foundation']","['Franklin Richards', 'Valeria Richards']",['Q865017']
/m/013z1n,['Kenny McCormick'],"['vigilante', 'opera singer', 'schoolchild']",[],[],['Q47386']
/m/01438z,['Lancelot'],"['knight', 'dragonslayer']",['Knights of the Round Table'],['Galahad'],['Q215681']
/m/0144m1,['Leopold Bloom'],"['astronomer', 'advertising person']",['freemasonry'],"['Rudolph ""Rudy"" Bloom', 'Milly Bloom']",['Q573988']
/m/0146xg,['Gurney Halleck'],[],[],[],['Q384546']
/m/0147fv,['narrator'],[],[],[],['Q58363586']
/m/014_w4,['Dr. John Watson'],"['military physician', 'military personnel', 'physician', 'surgeon']",[],[],['Q187349']
/m/014ddg,['Horatio Hornblower'],['naval officer'],[],[],['Q1424762']
/m/014k85,['Ebenezer Scrooge'],"['moneylender', 'banker', 'accountant']",[],[],['Q626756']
/m/014kdf,['Megatron'],"['miner', 'warlord', 'gladiator', 'mass murderer']",['Decepticon'],[],['Q828473']
/m/014kmw,['Molly Weasley'],[],"['Order of the Phoenix', 'Gryffindor']","['George Weasley', 'Ginny Weasley', 'Bill Weasley', 'Percy Weasley', 'Fred Weasley', 'Ron Weasley', 'Charlie Weasley']",['Q3255012']
/m/014kpr,['Percy Weasley'],"['personal assistant', 'student']","['Ministry of Magic', 'Weasley family', 'Gryffindor']",[],['Q3284911']
/m/014kr5,['Charlie Weasley'],"['Quidditch player', 'magizoologist']","['Order of the Phoenix', 'Weasley family', 'Gryffindor']",[],['Q3430858']
/m/014krp,['Arthur Weasley'],['director'],"['Ministry of Magic', 'Order of the Phoenix']","['George Weasley', 'Ginny Weasley', 'Ron Weasley', 'Bill Weasley', 'Percy Weasley', 'Fred Weasley', 'Charlie Weasley']",['Q7881262']
/m/014nss,['Théodred'],[],[],[],['Q2000416']
/m/014s4v,['Captain Nemo'],"['explorer', 'terrorist', 'engineer', 'submariner', 'ship captain', 'researcher']",[],[],['Q1046049']
/m/014wp5,['Mewtwo'],[],[],[],['Q2141803']
/m/014wsv,['Duncan Idaho'],['swordfighter'],['Mentat'],[],['Q911563']
/m/014wvt,['Leto I Atreides'],['governor'],[],"['Victor Atreides', 'Alia Atreides', 'Paul Atreides']",['Q1078956']
/m/014ww5,['Shaddam Corrino IV'],['ruler'],[],"['Princess Irulan', 'Wensicia']",['Q509741']
/m/0150_n,['Mordred'],['writer'],[],[],['Q81109']
/m/0152c0,['Cho Chang'],"['Quidditch player', 'student']","['Ravenclaw', ""Dumbledore's Army""]",[],['Q840305']
/m/0153tf,['Marvin the Paranoid Android'],[],[],[],['Q264685']
/m/0153wy,['Arthur Dent'],"['traveler', 'food and drink preparation']",[],['Alea Dent'],['Q613901']
