,freebase_actor_id,Actor,score
0,/m/0h0wc,Meryl Streep,452
1,/m/09fb5,Jack Nicholson,327
2,/m/0cf2h,Spencer Tracy,298
3,/m/0d6d2,Paul Newman,288
4,/m/012v9y,William Holden,286
5,/m/0154qm,Cate Blanchett,285
6,/m/0c2tf,Gary Cooper,265
7,/m/0byfz,Laurence Olivier,263
8,/m/0gr36,Alec Guinness,254
9,/m/0dvmd,Leonardo DiCaprio,251
10,/m/0bxtg,Tom Hanks,250
11,/m/0h1m9,Bette Davis,248
12,/m/016yvw,Daniel Day-Lewis,247
13,/m/015c4g,Robert Duvall,243
14,/m/0k9j_,Gregory Peck,243
15,/m/040z9,Jack Lemmon,242
16,/m/0bw87,Katharine Hepburn,239
17,/m/044qx,James Stewart,239
18,/m/06cgy,Robert De Niro,232
19,/m/0h0jz,Peter O'Toole,225
20,/m/0cg9f,Richard Burton,224
21,/m/0h1_w,Fredric March,220
22,/m/0bmh4,Elizabeth Taylor,220
23,/m/0z4s,Anthony Hopkins,219
24,/m/0170pk,Geoffrey Rush,213
25,/m/0bj9k,Al Pacino,210
26,/m/0lpjn,Judi Dench,209
27,/m/0h1q6,Claude Rains,207
28,/m/016zp5,Ian Holm,204
29,/m/01f7dd,Willem Dafoe,201
30,/m/0g_92,Deborah Kerr,200
31,/m/043gj,John Wayne,200
32,/m/055c8,Morgan Freeman,198
33,/m/01w1kyf,Shirley MacLaine,196
34,/m/016ggh,John Gielgud,193
35,/m/0cgbf,Joan Crawford,192
36,/m/01g42,Burt Lancaster,191
37,/m/039xcr,Thomas Mitchell,189
38,/m/0m6x4,Olivia de Havilland,189
39,/m/0dvld,Kate Winslet,188
40,/m/0bdt8,Ingrid Bergman,188
41,/m/0c0k1,Harrison Ford,186
42,/m/0170qf,Ralph Fiennes,185
43,/m/0f0kz,Christopher Lee,185
44,/m/01846t,John Rhys-Davies,183
45,/m/016k6x,Ben Kingsley,182
46,/m/0h1s0,Greer Garson,176
47,/m/0kszw,Helena Bonham Carter,175
48,/m/06dv3,Russell Crowe,174
49,/m/0dqcm,Audrey Hepburn,173
50,/m/0h1mt,Jane Fonda,171
51,/m/04__f,Marlon Brando,168
52,/m/0flw6,Jeff Bridges,168
53,/m/01201_,Ronald Colman,165
54,/m/0bl2g,Dustin Hoffman,165
55,/m/0pmhf,Denzel Washington,165
56,/m/039bp,Gene Hackman,164
57,/m/01v2sk,Thelma Ritter,164
58,/m/0chsq,Charlton Heston,163
59,/m/0241jw,Andy Serkis,162
60,/m/0dzf_,Robin Williams,162
61,/m/014zcr,George Clooney,161
62,/m/0cj8x,Henry Fonda,160
63,/m/0c3p7,Glenn Close,159
64,/m/0jfx1,Johnny Depp,159
65,/m/0c6qh,Brad Pitt,158
66,/m/0b_fw,Anthony Quinn,157
67,/m/0p8r1,John Ratzenberger,157
68,/m/0gs1_,Robert Redford,156
69,/m/02f6s3,Walter Brennan,156
70,/m/02hfsd,Ward Bond,155
71,/m/0b_dy,Albert Finney,155
72,/m/0bkmf,Clark Gable,152
73,/m/09qh1,Cary Grant,152
74,/m/0gm34,Rod Steiger,152
75,/m/0l6px,Maggie Smith,151
76,/m/017149,Ed Harris,150
77,/m/0k525,Max von Sydow,149
78,/m/01y8cr,Karl Malden,149
79,/m/0169dl,Matt Damon,148
80,/m/01csrl,Agnes Moorehead,148
81,/m/0gyx4,Warren Beatty,148
82,/m/016dql,Gladys Cooper,148
83,/m/015dnt,Trevor Howard,148
84,/m/0h96g,Sigourney Weaver,145
85,/m/016ypb,Hugo Weaving,145
86,/m/0kftt,Julie Andrews,145
87,/m/0h1nt,Sissy Spacek,145
88,/m/014kg4,Arthur Kennedy,144
89,/m/010xjr,Richard Harris,143
90,/m/019l68,Shelley Winters,143
91,/m/03n6r,Humphrey Bogart,143
92,/m/01ycbq,Christopher Plummer,143
93,/m/0f2df,David Niven,142
94,/m/0p9gg,Charles Boyer,142
95,/m/0hqdr,Jennifer Jones,141
96,/m/0l786,George C. Scott,141
97,/m/05dbf,Nicole Kidman,141
98,/m/0159h6,Emma Thompson,139
99,/m/0266fq7,Cecil Kellaway,138
100,/m/0m0nq,Mickey Rooney,137
101,/m/016xk5,Simon Callow,136
102,/m/01vsy9_,Bing Crosby,135
103,/m/03bdm4,Donald Crisp,135
104,/m/02_pft,Lee J. Cobb,135
105,/m/0f5xn,Samuel L. Jackson,135
106,/m/07r1h,Tom Cruise,133
107,/m/0k8y7,Natalie Wood,133
108,/m/01p7yb,Frances McDormand,133
109,/m/03ym1,Ian McKellen,133
110,/m/01bh6y,Jean Simmons,132
111,/m/02kxwk,Kathy Bates,132
112,/m/0cgzj,Sidney Poitier,131
113,/m/0183xv,Irene Dunne,131
114,/m/04g4n,Leslie Caron,130
115,/m/02wr6r,Jack Warden,130
116,/m/012j8z,Walter Pidgeon,130
117,/m/0b47ns,Reginald Owen,129
118,/m/03bgmn,Charles Coburn,128
119,/m/03f1zdw,Colin Firth,128
120,/m/02cj_f,George Sanders,127
121,/m/028knk,Annette Bening,126
122,/m/0171cm,Tom Wilkinson,126
123,/m/018qr9,Teresa Wright,125
124,/m/01938t,Susan Hayward,125
125,/m/0141kz,John Mills,124
126,/m/02_fj,Frank Sinatra,124
127,/m/0j582,Kirk Douglas,124
128,/m/0sz28,Sean Penn,123
129,/m/03bpr2,Hugh Griffith,123
130,/m/09wj5,Orlando Bloom,122
131,/m/01jw4r,Sally Field,122
132,/m/01f6zc,Gary Oldman,121
133,/m/01kwsg,Tommy Lee Jones,121
134,/m/04yn21,Arthur O'Connell,121
135,/m/0gpmp,Charles Laughton,120
136,/m/015rhv,Roddy McDowall,119
137,/m/0jvtp,James Mason,119
138,/m/0161h5,Angela Lansbury,119
139,/m/019f2f,Ellen Burstyn,118
140,/m/01kb2j,Julianne Moore,118
141,/m/015d3h,Ernest Borgnine,117
142,/m/01ps2h8,Viggo Mortensen,117
143,/m/01388c,Montgomery Clift,117
144,/m/01vwllw,Susan Sarandon,117
145,/m/012jb3,Barry Fitzgerald,116
146,/m/02qgyv,John C. Reilly,116
147,/m/0c5vh,Mel Blanc,116
148,/m/04jxzf,H. B. Warner,116
149,/m/01wy5m,Christian Bale,115
150,/m/02bfmn,Brad Dourif,115
151,/m/019l3m,Anne Baxter,114
152,/m/0gnbw,Michael Caine,114
153,/m/01nwwl,Jim Broadbent,114
154,/m/03vt3j,Jack Hawkins,113
155,/m/01933d,Jane Wyman,113
156,/m/04jxlw,Akim Tamiroff,112
157,/m/0p9qb,Rex Harrison,112
158,/m/01r93l,Jude Law,112
159,/m/01v9l67,Billy Boyd,111
160,/m/0h32q,Vanessa Redgrave,111
161,/m/0hwbd,Faye Dunaway,110
162,/m/0gyy0,Walter Matthau,110
163,/m/015gjr,Marcello Mastroianni,110
164,/m/02zfg3,Charles Durning,110
165,/m/05q1gn,Lawrence Makoare,109
166,/m/06z9m2,Finlay Currie,109
167,/m/0chw_,Jodie Foster,108
168,/m/0cbf0,Victor McLaglen,108
169,/m/018q9b,Gladys George,107
170,/m/012gbb,Marlene Dietrich,107
171,/m/01csvq,Diane Keaton,107
172,/m/02ck7w,David Wenham,107
173,/m/015t7v,Bernard Hill,107
174,/m/015wnl,John Hurt,106
175,/m/021mlp,John Carradine,106
176,/m/0812r,Vivien Leigh,106
177,/m/02qgqt,Philip Seymour Hoffman,106
178,/m/04gc65,Scott Glenn,106
179,/m/0438dl,Charles Bickford,105
180,/m/0h5g_,Liam Neeson,105
181,/m/01c_zw,Renée Zellweger,105
182,/m/05kwx2,Timothy Spall,105
183,/m/015t56,Elijah Wood,105
184,/m/016khd,William Hurt,104
185,/m/013sg6,Vincent Price,104
186,/m/044bn,Joseph Cotten,104
187,/m/03bpn6,Edmond O'Brien,104
188,/m/046qq,Jon Voight,104
189,/m/01tcf7,Jason Robards,103
190,/m/0432b,James Cagney,103
191,/m/017d3v,Cedric Hardwicke,103
192,/m/0cf3c,Janet Gaynor,103
193,/m/0js9s,Peter Jackson,102
194,/m/01713c,Javier Bardem,102
195,/m/039fwd,Russ Tamblyn,102
196,/m/04f6fn,J. Carrol Naish,101
197,/m/09bx4t,Porter Hall,101
198,/m/018db8,Joaquin Phoenix,101
199,/m/01l9p,Charlize Theron,101
200,/m/015pkc,Tobey Maguire,101
201,/m/0525b,Miranda Richardson,100
202,/m/0f0p0,Ray Milland,100
203,/m/0hnkp,Lionel Barrymore,100
204,/m/017r13,John Malkovich,100
205,/m/01k5zk,Debra Winger,99
206,/m/024bbl,James Cromwell,99
207,/m/036jb,Gene Kelly,99
208,/m/0h953,Fred Astaire,99
209,/m/0sxqg,José Ferrer,98
210,/m/01yk13,John Lithgow,98
211,/m/018s7v,Jean Arthur,98
212,/m/016gkf,Peter Ustinov,98
213,/m/053xw6,Brendan Gleeson,97
214,/m/01gw4f,Talia Shire,97
215,/m/0184jc,Guy Pearce,97
216,/m/01hkhq,Helen Mirren,97
217,/m/0gmv3,Norma Shearer,97
218,/m/0m40r,Wendy Hiller,97
219,/m/02s58t,Tyrone Power,97
220,/m/015wfg,Roy Scheider,97
221,/m/01520h,Richard Dreyfuss,97
222,/m/0svqs,Sean Astin,96
223,/m/0266wpg,Harry Davenport,96
224,/m/03f2_rc,Barbra Streisand,96
225,/m/05kh_,Orson Welles,96
226,/m/0794g,Sandra Bullock,95
227,/m/086sj,Winona Ryder,95
228,/m/01ltsk,Leo G. Carroll,95
229,/m/079pn3,Spring Byington,95
230,/m/018qms,Joan Fontaine,95
231,/m/02x08c,Richard Widmark,94
232,/m/0bw6y,Barbara Stanwyck,94
233,/m/01rh0w,Liv Tyler,94
234,/m/015dqj,Maximilian Schell,93
235,/m/018qn8,Martha Scott,93
236,/m/02mxw0,Ned Beatty,93
237,/m/016fjj,Christopher Walken,93
238,/m/0hvb2,Martin Sheen,92
239,/m/016z2j,Robert Downey Jr.,92
240,/m/015rkw,Michael Gambon,92
241,/m/034q3l,Martin Balsam,92
242,/m/07z586,John Qualen,92
243,/m/03zzxf,Sam Jaffe,91
244,/m/01s7zw,Bill Paxton,91
245,/m/01jqtg9,Maurice Chevalier,91
246,/m/04x9c1,Henry Travers,91
247,/m/039wsf,Lee Grant,91
248,/m/04ykv3,Una O'Connor,91
249,/m/0164r9,Robert Shaw,91
250,/m/018qpb,Rosalind Russell,90
251,/m/02gvwz,Sean Bean,90
252,/m/01j5ts,Anjelica Huston,90
253,/m/09fdg1,Beth Grant,90
254,/m/02_p8v,Michael Gough,90
255,/m/02rwj9,Gale Sondergaard,90
256,/m/031k24,David Strathairn,89
257,/m/026gn9,Evelyn Keyes,89
258,/m/015grj,Alan Arkin,89
259,/m/018ygt,Alec Baldwin,88
260,/m/016gr2,Derek Jacobi,88
261,/m/016j68,Denholm Elliott,88
262,/m/04sry,Martin Scorsese,88
263,/m/01lx5b,George Reeves,88
264,/m/019l42,Eleanor Parker,87
265,/m/0127m7,Kevin Costner,87
266,/m/0j_c,Alfred Hitchcock,87
267,/m/02qtzlf,Stanley Ridges,87
268,/m/0lcf1,Leslie Howard,87
269,/m/04n_g,Lee Marvin,87
270,/m/04t52j,Aubrey Smith,87
271,/m/03w8wd,Sala Baker,86
272,/m/03fvqg,Eddie Albert,86
273,/m/0252fh,James Caan,86
274,/m/01kwld,Dominic Monaghan,86
275,/m/015q43,Julie Christie,86
276,/m/019_1h,Omar Sharif,86
277,/m/014zn0,Dana Andrews,86
278,/m/02t1wn,"Alan Hale, Sr.",86
279,/m/0156y1,Andy Devine,85
280,/m/048lv,Kevin Spacey,85
281,/m/0f6_x,James Earl Jones,85
282,/m/02q0vb,May Whitty,85
283,/m/0h7dd,Ginger Rogers,85
284,/m/012vf6,Myrna Loy,84
285,/m/06ybgd,Ray Collins,84
286,/m/0crd4r,Eugene Pallette,84
287,/m/012dpb,Frank Morgan,84
288,/m/02tr7d,Kelly Macdonald,84
289,/m/06mr6,Sean Connery,84
290,/m/039xbb,Joseph Schildkraut,83
291,/m/01bj6y,Joanne Woodward,83
292,/m/021npv,Tom Berenger,83
293,/m/02l4rh,Kristin Scott Thomas,83
294,/m/018swb,Pete Postlethwaite,82
295,/m/044rvb,J. K. Simmons,82
296,/m/01nm3s,John Goodman,82
297,/m/014g8p,Henry Wilcoxon,82
298,/m/014gf8,Laurence Fishburne,82
299,/m/05xf75,Tom Hardy,82
300,/m/0ly5n,Fred MacMurray,82
301,/m/033231,Gloria Grahame,81
302,/m/039m3g,Anne Revere,81
303,/m/0b25vg,Amy Adams,81
304,/m/07lt7b,Marion Cotillard,81
305,/m/0ywqc,Donald Sutherland,81
306,/m/01tspc6,Imelda Staunton,81
307,/m/031y07,Anthony Quayle,80
308,/m/012cyp,Glynis Johns,80
309,/m/0bwh6,Clint Eastwood,80
310,/m/04qyk7,Gene Lockhart,80
311,/m/01j5tb,Maureen O'Hara,80
312,/m/03w3wr,Alan Napier,80
313,/m/03f362,John Cazale,80
314,/m/016kb7,F. Murray Abraham,80
315,/m/02wrrm,George Kennedy,80
316,/m/0klh7,Harvey Keitel,80
317,/m/039nmy,Jane Darwell,79
318,/m/02l5mv,Robert Preston,79
319,/m/015qyf,James Whitmore,79
320,/m/01xcqc,Burgess Meredith,79
321,/m/01pkhw,Michael Sheen,79
322,/m/02_k_x,Red Buttons,79
323,/m/0205dx,Danny Glover,79
324,/m/051wwp,Bob Balaban,79
325,/m/01_xtx,Bradley Cooper,79
326,/m/03mp9s,Michelle Williams,79
327,/m/016kkx,James Garner,79
328,/m/01w23w,Randy Quaid,78
329,/m/02wgln,Alfred Molina,78
330,/m/02qzpbk,Saoirse Ronan,78
331,/m/02qx5h,George Segal,78
332,/m/01cj6y,Adrien Brody,78
333,/m/0bq2g,Gwyneth Paltrow,78
334,/m/01wskg,Oliver Reed,78
335,/m/0q9kd,Danny DeVito,78
336,/m/01vr32z,Hermione Gingold,78
337,/m/02_p5w,Jim Cummings,78
338,/m/0hwd8,Basil Rathbone,78
339,/m/0170s4,Woody Harrelson,77
340,/m/015nhn,Glenda Jackson,77
